"Date and Time","Date and Time","Short Course Description","Body","Title"
"June 8, 2010 - 6:00pm","June 8, 2010 - 7:00pm","Learn how to find, pitch, report, and write non-fiction magazine features—and get them published, from a former editor at Rolling Stone and Entertainment Weekly, currently senior editor at Baltimore magazine. (10 students max)","This will be a six-week, real-world class for writers who want to see their work published.
 
We will begin with finding intriguing stories worth writing about, researching appropriate outlets for them, finding the right contacts, and crafting pitch letters.
 
We will go through the process of reporting a story, tracking down information, finding primary and secondary sources, using web, print, and public resources, and improving interviewing, note-taking and transcribing skills.
 
We will learn how to structure a magazine feature, how to cater pieces to particular outlets and audiences, how to create the perfect lede, how to drive a story, tell a narrative, maximize quotes, and, if necessary, create multimedia or web components.
 
Finally, we will learn how to respond to editor queries, rejection, and fee negotiations. We will discuss strategies to create a career (or second career) as a freelance journalist, how to network (and social network), and how to build a portfolio.
 
By the end of the course, I hope every student will have at least one completed, edited, revised story that is ready for publication.
 
The course will be taught by Evan Serpick, currently senior editor at Baltimore magazine and a frequent contributor to Rolling Stone. Evan has previously been an associate editor at Rolling Stone, a correspondent at Entertainment Weekly, and a contributor to The New York Times, Columbia Journalism Review, Spin, XXL, Blender, and many other publications.
 
 
 ","Magazine Journalism"
"May 8, 2010 - 2:00pm","May 8, 2010 - 3:30pm","taught by Ellen Hagan","We will explore poetry and memoir in this one hour writing workshop. Using poems from the book, Crowned, we will write about personal and social issues and share our work in a comfortable, laid-back setting. All levels welcome. Each participant will come away with 2-3 new pieces of writing and new exercises to use.
Ellen Hagan is a writer, performer, and educator. Her poetry and essays have appeared in literary journals, magazines, and anthologies. Ellen’s performance work has been showcased at the New York International Fringe and Los Angeles Women's Theatre Festival, among others. She has received grants from The Kentucky Governor's School for the Arts, The Kentucky Foundation for Women, and held residencies at HopscotchHouse and LouisianaArtWorks. Ellen holds a B.F.A in Theater from The University of Kentucky and an M.F.A. in  Fiction from The New School University in New York. A proud Kentucky writer, she is member of the Affrilachian Poets, Conjwomen, and co-founder of the girlstory collective. Crowned, her debut collection of poems was recently published by Sawyer House Press.  
www.ellenhagan.com","Writing Workshop"
"May 6, 2010 - 6:00pm","May 6, 2010 - 8:30pm","A discussion on affirming harm reduction philosophy and practices already present in our organizing, activism, self-care, and communities.","Normal
0
false
false
false
EN-US
X-NONE
X-NONE
MicrosoftInternetExplorer4
/* Style Definitions */
table.MsoNormalTable
{mso-style-name:""Table Normal"";
mso-tstyle-rowband-size:0;
mso-tstyle-colband-size:0;
mso-style-noshow:yes;
mso-style-priority:99;
mso-style-qformat:yes;
mso-style-parent:"""";
mso-padding-alt:0in 5.4pt 0in 5.4pt;
mso-para-margin:0in;
mso-para-margin-bottom:.0001pt;
mso-pagination:widow-orphan;
font-size:11.0pt;
font-family:""Calibri"",""sans-serif"";
mso-ascii-font-family:Calibri;
mso-ascii-theme-font:minor-latin;
mso-hansi-font-family:Calibri;
mso-hansi-theme-font:minor-latin;}
Normal
0
false
false
false
EN-US
X-NONE
X-NONE
MicrosoftInternetExplorer4
  /* Style Definitions */ table.MsoNormalTable {mso-style-name:""Table Normal""; mso-tstyle-rowband-size:0; mso-tstyle-colband-size:0; mso-style-noshow:yes; mso-style-priority:99; mso-style-qformat:yes; mso-style-parent:""""; mso-padding-alt:0in 5.4pt 0in 5.4pt; mso-para-margin:0in; mso-para-margin-bottom:.0001pt; mso-pagination:widow-orphan; font-size:11.0pt; font-family:""Calibri"",""sans-serif""; mso-ascii-font-family:Calibri; mso-ascii-theme-font:minor-latin; mso-hansi-font-family:Calibri; mso-hansi-theme-font:minor-latin;}      
Harm      reduction is both a radical philosophy as well as an ever-expanding set of      practical strategies used to guide incremental change.  Harm reduction charts a course away from      ‘just say no’ and offers tools to reduce harms that stem from violence,      drug use, sex, and so much more. This workshop will discuss the practical      strategies, as well as the philosophies of harm reduction that can      encourage healthier communities and affirm positive change. Parallels will      be drawn to other movements and philosophies that are compatible with harm      reduction.  Participants will explore      harm reduction philosophy and its intersections with their own work, activism, spirituality, communities and lives.
 
 ","What you already know about Harm Reduction"
"August 5, 2010 - 7:00pm","August 5, 2010 - 9:00pm","A course about the process and possibilities of pregnancy and birth for people who are not currently expecting a baby","As a doula and a student of pregnancy and birth, I have noticed that most people who are expecting a new child know very little about birth before they (or their partners) become pregnant.  There are limited opportunities for someone to understand the realities of pregnancy and birth before they are experiencing them firsthand.  And there is also a vast, and widely unknown, world of possibilities for pregnancy and birth that exist outside the current medical model.
The course will feature videos of natural hospital and home births, including water birth, ecstatic birth & unattended births, and readings by radical pioneers in the natural birth movement such as American midwife Ina May Gaskin and French obstetrician Michel Odent.  Topics will include basic physiology of pregnancy and birth; the process of normal, uninterrupted birth; the sexuality of birth; pre-& post-natal bonding; infant psychology; alternatives to hospital births; the midwifery model of care; cross-culture birth & parenting practices; attachment parenting and extended breastfeeding.
This course is for everyone, regardless of their desire or plan to have a baby.  At heart, it is about opening to the possibilities of life that exist beyond fear and convention.","Childbirth Education for Non-Parents"
"August 7, 2010 - 11:00am","August 7, 2010 - 8:00pm","A two-day, intensive, participatory seminar with radical theorist Brian Holmes.","A two-day, intensive, participatory seminar with radical theorist Brian Holmes.
More info here:
http://4pathways.redemmas.org/
http://brianholmes.wordpress.com/2009/10/25/four-pathways-through-chaos/","Four Pathways Through Chaos: A seminar with Brian Holmes"
"June 6, 2010 - 3:00pm","June 6, 2010 - 5:00pm","Book Club focasing on fatness and queerness","This bookclub will address issues that fall at the intersection of Fat oppression and celebration and Queer oppression and celebration. We hope to include both Fiction and non-fiction. The books will be chosen as a group. There will be food.
Participants need not be fat or queer to participate, but much be fat and queer minded.
The first book will be Fat?So! By Marylin Wann.
 ","B More Fat&Queer Book Club"
"July 24, 2010 - 11:00am","July 24, 2010 - 6:00pm","One day intensive, participatory seminar on the political economy of information processing in the 20th and 21st centuries.","Please see the seminar home page for details!.","Cybernetics Capitalism Control"
"May 22, 2010 - 11:30am","May 22, 2010 - 12:30pm","Conducting surveys and interviews of families and youth that have been incarcerated and charged as adults","
Join Us To End the Incarceration of
Youth in Adult Jails”
Facts
In Maryland, youth as young as 14 years of age may be tried as adults if they are charged with certain crimes.  In Baltimore City, these youth are detained at the Baltimore City Detention Center (BCDC), the oldest operating adult jail in the Western Hemisphere.  On any given day, about 100-150 male and female youth under 18 years of age are held at BCDC pending trial.  Some are detained for up to one year. According to estimates, less than 1/3 of these youth will ultimately be convicted and committed to adult prisons. The remaining 2/3 will either have their cases returned to juvenile court, have the charges against them dropped, or will be placed on probation and released to the community. In fact, in 2007, only 76 of the 11,000 newly-incarcerated individuals who were committed to adult prisons were under the age of 18.
These facts raise significant questions of the wisdom of Maryland’s policies and practices of detaining youth pre-trial in adult jails and trying youth as adults for offenses that generally result in probation or referral to the juvenile system. 
Our organizations will do so by conducting a series of interviews in focus groups, round table discussion and surveys of juveniles, families, and community members.
We will be organizing public forums to gather more information to help reduce the number of youth tried and detained in adult detention.  For more information on how you can participate on such an important and critical issue  call Kimberly Armstrong-1-800-485-8214 or email diamondadvocateinc@gmail.com","Juvenile Justice-Parent Em-Powerment  (PEP)"
"June 15, 2010 - 5:00pm","June 15, 2010 - 6:00pm","working with youth to create a literary magazine; includes writing, reading, and creative arts workshops","Tuesday June 15, 2010 5pm-6pm We want to develop and publish a literary magazine with art, poetry, and creative works by Baltimore youth. This would involve a series of writing sessions and development workshops. Our group came up with this idea because a lot of our peers have talents, but a lot of them are reading below grade level. We want to address many community problems, specifically literacy. We want to give students a more credible space to express ourselves. Illiteracy is caused by a school system/environment that lacks resources. We think a literary magazine is important to fix this issue.","RISE UP Rebuild"
"June 16, 2010 - 4:00pm","June 16, 2010 - 6:00pm","Have fun taking part in improv comedy games led by Tim Paggi. All experience levels welcome.","Writer and performer Tim Paggi invites members of the community to learn and perform the basics of improvisational comedy. Improvising a scene helps train your ability to think quick and act spontaneously in front of an audience, even in everyday life. More importantly, improv comedy is about effective listening. Using popular ""short form"" improv exercises seen on TV and theaters across the country, we'll develop our ability to act and respond to our fellow performers and neighbors in all kinds of situations--without a script telling you what to do.The point isn't really how ""funny"" you can be (although that makes it fun). The real emphasis is being able to develop mental agility by allowing your imagination to run free.
NO acting or comedy experience needed whatsoever. Newcomers highly encouraged.
The workshop begins with non-traditional theater warm-ups and ice breakers to get everyone acquainted. Then funtime begins.
In the course of three hours, we'll jumpstart our brains using body/kinethetic exercises, appear live on a dating game show, return unwanted purchased items, act in every single genre of film...and more. These are all examples of structured ""short form"" improv comedy routines. Improvisational comedy training, made popular at Chicago's Second City, helped performers on Saturday Night Live and the Daily Show, and at theaters across the world delight audiences with unpredictable laughs.
Besides comedy, many theater artists use improvisation as a tool for dialogue with an audience and a community about relevant issues. Perhaps the best example is Augoso Boal's Theater of the Oppressed. The focus of my particular workshop will be comedy, but some light ""Theater of the Oppressed"" techniques will be combined with the short form exercises toward the end of the workshop to open up a frank dialogue about affordable housing in the neighborhood.
Tim Paggi led an improv comedy troupe in college for three years, and has performed at venues such as the Ottobar, the Creative Alliance, The Zodiac Club, the Annex Theater (where he lives and works), and many more. His experimental plays are widely performed throughout Baltimore, including productions at Artscape, Whartscape, The Baltimore Playwright's Festival, the Transmodern Festival, Baltimore Theater Action Group and Run of the Mill Theater's ""Variations"" series. He encourages improv techniques when directing his own plays to keep performances fresh and lively, and encourages everyone to challenge themselves to have real fun with this workshop.","Improv Comedy"
"July 27, 2010 - 7:30pm","July 27, 2010 - 9:00pm","A four week intensive collaborative seminar on Badiou's major philosophical text.","For most of us in the reading group, we've read around Badiou, know that he has a idiosyncratic committment to revolutionary struggles (especially Maoism), and understand in brief, caricatured synopsis his claims about the relationship between the Event, the truth it reveals, and the way in which it remains fundamentally obscure or ungraspable.  But none of us have tried to actually work our way through Being and Event, Badiou's major work in which he outlines a new theory of radical subjectivity via mathematical ontology, and so this summer, we're going to fix that, spending the month of July working through Badiou's text in full, together.
The book has eight parts, and we're going to do two each week.  If you'd like to participate, please read the first two parts before the first meeting on July 6th.  If you'd like to order a copy of the book at a 20% discount from Red Emma's, please email books@redemmas.org.
 ","Reading Theory: Alain Badiou's *Being and Event*"
"August 28, 2010 - 10:00am","August 28, 2010 - 11:30am","A relaxing yoga class for all levels (1.5 hrs)","Sivananda yoga is based on relaxing, and even meditating, in various poses. Modifications invite all levels, from the inexperienced to advanced yoga practitioner. All flexibilities and all ages also welcome. Please bring your own mat, wear comfortable clothing, and bring water (reusable containers, extra karma points :-)!). Please let me know of any injuries/concerns before class. Questions always welcome.
 
Class includes breathing practice, eye and neck/shoulder exercises, core strengthening for balance, sun salutations, and many different asanas (holding poses). You will see yourself progress mentally and physically with regular attendance. Subsequent home practice encouraged (but not required).","Yoga for Everyone"
"December 21, 2010 - 6:00pm","December 21, 2010 - 7:30pm","Beginner & Intermediate Level Hatha Yoga with Chanting, Deep Relaxation, & Meditation Plus Discussion of Yogic Philosophy & the Science Behind the Practice","This class is meant for those looking to start or further their Hatha yoga practice, as well as have some fun learning more about the philosophy behind yoga practice and discussing the modern science that supports it. Each class will start with an hour to an hour and 15min of asana practice, chanting, yoga nidra (deep relaxation), breathing exercises, and short meditation followed by an optional 15-30 min forum/ Q&A session. I'll give some background information on a topic and then open up the floor for discussion. Students are encouraged to bring questions and relevant articles to class to share and not limit themselves to the provided topic. Additionally if students are interested, we may explore some less traditional yoga practices such as Laughter Yoga or Yoga with a Buddy (partner yoga). Through this course, students will gain a better understanding of the benefits of yoga and the philosophical foundation of the practice.  
Possible discussion topics:

Healing Techniques: The Potential Power of Chanting, Pranayama, & Meditation
The Beginning & End of the World: Yoga, The Big Bang, & String Theory
Is Non Attachment Possible? Yoga Philosophy and Daily Life
How to Gain Superpowers: The Patanjali Method
Is Yoga a Religion? Devotion and the 8 Limbs of Yoga
Tofurky and Nose Floss: Yoga Diet & Cleansing Practices, Science or Silly?
Are Colored Lights Normal? Developing a Meditation Practice 

 
Students will be required to provide and bring their own mats, cushions, and blankets as well as wear appropriate clothing (whatever is comfortable/ not restrictive of movement) and water, as necessary. Healthy doses of enthusiasm and skepticism, positive attitudes, and open minds strongly encouraged.
 
Recommended reading:

The Science of Breath: A Practical Guide
The Yoga Sutras of Patanjali: Translation and Commentary by Sri Swami Satchidananda
Integral Yoga Hatha
","Hatha Yoga: Practice, Theory, & Science"
"July 10, 2010 - 3:00pm","July 10, 2010 - 5:00pm","Book Club focusing on fatness and queerness","This book club will read and discuss books focusing on fatness and queerness. One need not be fat or queer to attend, but must be queer minded and down with fat celebration.","B More Fat&Queer Book Club"
"July 7, 2010 - 1:00pm","July 7, 2010 - 3:00pm","Making masks for The Dark World's Destruction by Derek Carr and discussing affordable housing in Greenmount West"," Baltimore Annex Theatre Presents Summer 2010 Workshop Series
“Full Access: Behind the Scene”
Theatre-Arts Workshops 
and a 
Conversation about Affordable Housing in Greenmount West
Funded by Kresge Arts in Baltimore- 
a partnership with the Baltimore Community Foundation
Thank you to our partners Child First Authority and 
New Greenmount West Civic Assocation
	Email BaltimoreAnnex@gmail.com for more info!
 
This workshop on theatre mask making workshops will include an opportunity for the public to make statements on how they feel or what they think about housing in the neighborhood, with the goal of creating a record of community support for fair, affordable housing in Greenmount West. The masks will reflect the different inner powers of the participants and characters in the Dark World’s Destruction a science-fiction-action-adventure play by Baltimore City Public School student Derek Carr.  Featuring local children and adults, it will be performed Thursday June 24th, Saturday June 26th, and Sunday June 27th","Superhero Mask Making!"
"June 18, 2010 - 10:00pm","June 18, 2010 - 11:59pm","Bring on the Balkan Brass! Dance party at the H&H to benefit the Baltimore Free School!","Spread the word- on Friday, June 18, the  Raya Brass Band's  East-coast tour touches down in Baltimore!  Featuring  odd meters,  unusual scales and a fine helping of gorgeous Balkan and  Romany  melodies played on reeds, trumpet, accordion, tuba and drums,  Raya's an  amazing dance band that gleefully mashes up the music of  Eastern  Europe with American funk, Reggaeton, and whatever else it gets  its  hands on.  They'll take the stage at 11 PM, with DJ Jonathan Nil   spinning Balkan Brass, Electro-Balkan, Arabic Hip Hop, and Turkish disco   before and after.  Come help us give a warm welcome to some of NYC's   finest Balkan folk musicians and all-around awesome people- even though   they've got a tour to support, they're donating half the proceeds of   this show to the Baltimore Free School!
$5 - $10 suggested  donation.  5th Floor H&H, 405 West Franklin  St.  BYOB, but snacks  aplenty we will supply!","Bring on the Balkan Brass! Free School Benefit"
"June 16, 2010 - 8:00pm","June 16, 2010 - 10:00pm","Free School Trivia Night at the Windup Space","June 16th @ 8pm
Trivia Night Fundraiser for the Free School!
We here at The Free School believe that we all have something to teach  and learn,  but if you're especially thirsty to show how much you know,  come on out  to the Wind Up Space on June 16th for our Trivia Night  fundraiser.
 
Only $5 per person gets you in the game as you and your  friends put  your heads together to compete for fabulous  prizes (and we do mean  fabulous!) while enjoying some refreshing drinks. The questions will be  engaging enough for beginners but challenging to even those diehard  trivia fanatics. So dust off your stores of obscure and common  knowledges, bring your friends, and have a blast!
 
All proceeds will go towards the  Free School's operating costs to  provide a free educational space for  Baltimore residents. What better  way to support your local free school AND show everyone what a  smartypants you are? Add in drinks and prizes, and you've got a crazy  fun evening on your hands.
Wednesday, June 16th
@The Windup Space- 12 W.  North Ave, Baltimore MD 21201
Registration starts at 8pm; Trivia starts  at 8:30.
Players can compete alone or in teams of up to 5 people. Going solo? We  can link you up with a team if you'd prefer.
$5 per person to play","Free School Trivia Night"
"March 12, 2011 - 7:00pm","March 12, 2011 - 9:00pm","A workshop in live electronic music, encouraging collaborative composition and group improvisation","This course is intended as an open, community ensemble of creative individuals, exploring audio architecture and interactive sound play. We will assemble a sprawling soundsystem of amplified found-objects, turntables, laptops and MIDI controllers, utilized through collective compositional ideas.
Concepts of the urban soundscape will be explored through local field recordings as well as guerilla sound performances around the Baltimore area. Listening and improvisation exercises will be drawn from R. Murray Schafer's HearSing, John Zorn's Cobra, and Karlheinz Stockhausen's From The Seven Days, among other sources of interest to anyone in the class.
In addition to free improvisation and ambient soundscapes, the class will explore layered beatmaking through sample-based production techniques as well as live looping.
Class is open to all ages, and will make use of tactile sound resources that kids and adults can both enjoy in a spirit of common experimentation.","Soundscape Composition Workshop"
"September 12, 2010 - 7:30pm","September 12, 2010 - 9:30pm","Private meeting",".","RESERVED"
"February 26, 2011 - 2:00pm","February 26, 2011 - 3:30pm","Improvise with other musicians and actors. Record poems with music. 2:00-3:30 PM, one Saturday a month.","In this course, we perform a poem with music, and record it. We are a group of actors and musicians called Parallel Octave (http://paralleloctave.wordpress.com)  seeking new collaborators. We work on choruses -- poems read and sung  by multiple voices, and performed to improvised music. Past poets have included Blake, Auden, Donne, Frost, Dylan Thomas, and others. 
Our weekly sessions are open to all Baltimore actors, singers, and  musicians who are interested in experimentation. We meet one Saturday a month to work on a different poem,
from 2:00-3:30 pm, in the Blue Room.
You can listen to some of the recordings we've made already here:http://paralleloctave.wordpress.com/recordings.html
or read this article on Parallel Octave in CityPaper:http://thetimes-tribune.com/cmlink/baltimore-city-paper/music/all-together-now-1.939200
The course is ongoing, with occasional breaks. Participants in the course are welcome to come and go as they please: we want to accomodate artists with schedule conflicts, and keep an open door for all performers to come in. Bring your instruments and your ideas. You must be comfortable with having the session recorded and shared  in order to attend.
 
For more information, contact us: (paralleloctave AT g m a i l ) 
Instructor Bio: Dara Weinberg (http://weinberg.wordpress.com/about/) has been directing Greek choruses for ten years and teaching chorus performance workshops for actors and musicians on choral improvisation for the past five. In Baltimore, she's taught Greek chorus workshops at JHU, Goucher, the Carver Center High School, and the Single Carrot Theater.","Parallel Octave chorus: musical/poetic improvisation"
"July 8, 2010 - 6:00pm","July 8, 2010 - 8:00pm","Strategies fo Writing An Effective Grant Proposal","The interactive workshop provides an overview of common grant requirements and strategies for writing an effective grant proposal. Bring your program idea or current program description/proposal and organization information. The workshop is geared toward those who have never written a grant application and those who would like to refresh their grant writing skills.","Grant Proposal Workshop"
"July 21, 2010 - 8:00pm","July 21, 2010 - 10:30pm","Our monthly fundraiser","We here at The Free School believe that we all have something to teach and learn, but if you're especially thirsty to show how much you know, come on out to the Wind Up Space on July 21st for our monthly Trivia Night fundraiser.
 
Only $5 per person gets you in the game as you and your friends put your heads together to compete for fabulous prizes (and we do mean fabulous!) while enjoying some refreshing drinks. The questions will be engaging enough for beginners but challenging to even those diehard trivia fanatics. So dust off your stores of obscure and common knowledges, bring your friends, and have a blast!
 
All proceeds will go towards the Free School's operating costs to provide a free educational space for Baltimore residents. What better way to support your local free school AND show everyone what a smartypants you are? Add in drinks and prizes, and you've got a crazy fun evening on your hands.
Wednesday, July 21st (and the third Wednesday of every month)
@The Windup Space- 12 W.  North Ave, Baltimore MD 21201
Registration starts at 8pm; Trivia starts  at 8:30.
Players can compete alone or in teams of up to 5 people. Going solo? We can link you up with a team if you'd prefer.
$5 per person to play","Trivia Night!"
"August 30, 2010 - 7:00pm","August 30, 2010 - 8:30pm","Students will analyze published non-fiction essays in order to prepare to write three of their own essays.","Non-fiction is a broad term that includes anything from this morning's newspaper to autobiographies to travel articles. In this course, however, we will focus on one specific form of non-fiction: the essay. Students will compose three essays to be viewed and critiqued by their peers. The types of short stories to be explored include memoir, satire, and letter/speech writing with a specific audience. A crash course in literary terms and grammar/punctuation will be given in the beginning of the course. In preparation for essay writing students will read works such as Martin Luther King, Jr.'s ""Letter from Birmingham Jail,"" Jonathan Swift's ""A Modest Proposal,"" David Sedaris' ""Santaland Diaries,"" and so on.
Prepare for the first class by reading Jonathan Swift's ""A Modest Proposal"" which can be found at http://art-bin.com/art/omodest.htmlb and http://ethnicity.rutgers.edu/~jlynch/Texts/modest.html or at google books.
Course Website: http://creativenonfictionintro.pbworks.com
IF YOU ARE STARTING CLASS LATE, PLEASE CATCH UP BY VISITING THE COURSE WEBSITE. ","Introduction to Writing Creative Non-Fiction"
"July 5, 2010 - 6:00pm","July 5, 2010 - 7:00pm","Current events and topics discussion. resource sharing.","What's new? Locally, nationally, internationally? Where do you get your news? Come share what's new and discuss current topics and events in this hour long discussion every monday night in July.","Current Events Discussion"
"July 1, 2010 - 6:00am","July 1, 2010 - 7:00am","Radical Runs","Meet up with Jessica Lewis and Maddox P for Tuesday and Thursday morning runs.  Starting at the Free School, we'll stretch and lock belongings in the school, while we run down to the switchback, up into Druid Hill, or down to the Harbor.  Runs will be 2-5 miles, depending on how we're feeling or time constraints of the day.  Get fit for the revolution!","Radical Run Group"
"July 13, 2010 - 7:00pm","July 13, 2010 - 10:00pm","A monthly meeting for the Baltimore GMB of the IWW","","RESERVED- IWW Meeting"
"August 22, 2010 - 4:00pm","August 22, 2010 - 6:00pm","Teaching the basics to novices of what they should know in order to be a working actor as taught by a former local casting director."," Six lessons to teach the basics that are not usually taught to people who want to become actors.
 
1 - Why (reasons for wanting to be an actor & the reality behind them)
2 - Quick Acting 101(assigning short scenes, assessing natural talent from those who need more input)
3- Headshots & Resume (& other things all serious Actors need)
4 - The 411 of On-Set Behavior (this is usually learned via Trial-by-fire, this helps to avoid that)
5 - Auditioning (what to do and what not to do)
6 - The Business v. The Dream (a review)","How To Be A Working Actor"
"September 19, 2010 - 12:00pm","September 19, 2010 - 5:00pm","Bring your own non-digital game designs to life through an interactive, goal-oriented, and FUN workshop process!","Ever play a board game or a card game, and wonder, ""How did they do that?""  Maybe you're one of the folks who played a card game or board game with their friends and said to themselves, ""Oh, I can do that better!""  Maybe you're someone who keeps saying to themselves, ""I have this idea for a game, and it would be SUPER fun, but I have no idea how to make it happen.""
If you're like the folks described above, then this workshop is for YOU.  Through a series of afternoon workshops, our instructors will guide you through the concept-crafting, design, playtesting, and final stages of board game design.  Create your own board games, card games, role-playing games, and other fun ways to spend time.  Special focus will be on playtesting and the rapid-iteration-development process (coming up with new versions of the game with slight changes to rules or game mechanics introduced each time) that helps keep this a hands-on, ever-changing, and incredibly enjoyable exercise.  Supplies will be on hand so that when the idea strikes you, you're ready to put it into action NOW.
Team-ups are strongly encouraged!  There's no need to go it alone on this exciting project...bring your friends!
This workshop culminates in October with the ""Baltimore Board Games Expo"" scheduled for a Sunday afternoon in October.  Participants will be offered the opportunity to present and play their games (in whatever stage of development) with guests to the Expo, meeting new friends and game enthusiasts.
Participation in each of the four workshops in the series is strongly recommended.  Drop-ins are welcome with advance notice.
Use your imagination, and bring that imagination to life!","Board Game Design"
"November 24, 2010 - 7:00pm","November 24, 2010 - 8:00pm","Portuguese as Foreign Language Class"," 
Heya,
Come learn Portuguese and some other things about the much ignored Lusophone world.
This should be fun. There will be lots of stories, linguistics, miscommunications, music, stumbles, and probably some learning. 
I will have a feel for the first class by seeing what you guys are expecting from such a class.
 ","Aula da Língua  Portuguesa"
"August 27, 2010 - 7:00pm","August 27, 2010 - 10:00pm","A One Year Anniversary Celebration and Benefit for the Free School","Calling all performers, artists, and aficionados!
Brush off your dancing shoes, tune up your instrument, practice your do-re-mi's to show off your skills in our very special Talent Show Extravaganza, a fun-filled fundraiser for the Baltimore Free School.
Performances can include da...nce, song, music, dramatic interpretations, step, juggling, stand up, ventriloquism, bird calls, magic tricks, or anything else you have a talent for that you'd like to share. You can sign up to perform by emailing freeschool@redemmas.org with your contact information and a description of your act. Solo and group performances welcome.
Stage fright? No problem! While enjoying the wildly entertaining displays of our community's talent, you'll be able to sign up as a monthly sustainer of the Free School or make a one-time donation. We'll be calling out our monthly pledges telethon-style, as well as giving away some fantastic door prizes.
Free admission.  Cash bar.  Nuff said.
And really folks, the Baltimore Free School is actually the city's truest, year round talent show, where we celebrate talent, skill and knowledge - for free!. You can always share your talents with others as an instructor, cultivate new ones as a student, or make it all possible as a sustainer.","Talent Show Extravaganza!"
"August 18, 2010 - 8:00pm","August 18, 2010 - 10:30pm","Our monthly fundraiser","The Free School believes that we all have something to teach and learn, but if you're especially thirsty to show how much you know, come on out to the Wind Up Space for our monthly Trivia Night fundraiser.
Only $5 (per person) gets you in the game as you and your friends put your heads together to compete for fabulous prizes (and we do mean fabulous!) while enjoying some refreshing drinks. The trivia will be general interest and ...for all experience levels, but challenging enough to keep even the trivia pros on their toes.
All proceeds will be put towards the Free School's operating costs to provide a free educational space for Baltimore residents. What better way to both benefit a local community project AND show everyone what a smartypants you are?!
***The grand prize will include 2 tickets to the almost sold-out Explosions in the Sky show on Sept 2 - wowza!***
Registration starts at 8, Trivia commences at 8:30.
Bring your friends to compete as a team of up to 5 people.","Trivia Night!"
"August 21, 2010 - 2:00pm","August 21, 2010 - 4:00pm","The root causes of the international financial crisis of capitalism and the deadlock in Congress.","“Worst economic crisis since Great Depression”  “Unemployment highest in 30 years”  “Double-dip recession is forecast”  “Jobs bill stalls in Senate”  We all know the headlines. Workers and their families are hurting – in our city, our state and our country. We are paying for the failures not only of Wall Street, but of a deadlocked political system where corporate money casts a blanket over even modest reform measures. We’re told the “new normal” will be high unemployment, shrinking wages and a tattered social safety net. What about the ""Local Jobs for America Act""?  Come hear what the Communists say:  About the root causes of the financial crisis  About the international crisis of capitalism  About breaking the deadlock in Congress  Public Forum Date Time Place  Sponsored by Maryland Communist Party For more information Labor donated","The Financial Crisis of Capitalism, Jobs and a Socialist Perspective"
"September 20, 2010 - 7:00pm","September 20, 2010 - 9:00pm","A weekly meditation group for artists","
Are you interested in learning how to meditate?  
Are you interested in using mindfulness meditation as a part of your arts practice?  

Come join The Mindful Artists' Collective, a new meditation group for practicing artists.  Our weekly classes include a mindfulness meditation session and then an individual practice period where everyone pursues his or her own art form. So far, we are primarily a group of writers and painters, but we welcome others.  At the end of each class, we have an optional ""open"" period where you can share your thoughts and feelings, your artwork, or facilitate a discussion on a relevant topic.  We are also working on a way to be able to do an occasional collaborative art project together.
If you have a cushion, please bring it.  You can also sit on a chair if you prefer.  Please bring whatever art supplies you will need.  
If you are new to meditation, we will have handouts for you and can provide some basic instruction about the various processes of meditation.   A great place to start is by reading one of the following: Meditation for Dummies by Stephen Bodian, Seeking the Heart of Wisdom:  The Path of Insight Meditation by Joseph Goldstein & Jack Kornfield, Mindfulness in Plain English by Venerable Henepola Gunaratana, or  Finding the Still Point:  A Beginner's Guide to Zen Meditation by John Daido Loori.
Check out our blog for a list of additional resources:  http://www.mindfulartists.com","The Mindful Artists' Collective"
"September 15, 2010 - 8:00pm","September 15, 2010 - 10:30pm","party people in the house (with trivia)!","The  Free School believes that we all have something to teach and learn, but  if you're especially thirsty to show how much you know, come on out to  the Wind Up Space for our monthly Trivia Night fundraiser.
Only  $5 (per person) gets you in the game as you and your friends put your  heads together to compete for fabulous prizes (and we do mean fabulous!)  while enjoying some refreshing drinks. The trivia will be general  interest and .........for all experience levels, but challenging enough to keep even the trivia pros on their toes.
All  proceeds will be put towards the Free School's operating costs to  provide a free educational space for Baltimore residents. What better  way to both benefit a local community project AND show everyone what a  smartypants you are?!
Registration starts at 8, Trivia commences at 8:30.
Bring your friends to compete as a team of up to 5 people.","Trivia Night!"
"September 13, 2010 - 7:00pm","September 13, 2010 - 9:00pm","A reading group to understand the history and context of segregation in Baltimore City."," A group of folks will start reading this history of segregation in Baltimore together with the hope that we will produce a visual narrative retelling the written history. Also, we will read the book in anticipation of an event at Red Emma's with the author, Antero Pietila, on October 14.","Reading Group: Not in My Neighborhood, How Bigotry Shaped a Great American City"
"September 24, 2010 - 8:32pm","September 24, 2010 - 10:32pm","mixer for staff/speakers","","Radical Bookfair Mixer"
"October 24, 2010 - 2:00pm","October 24, 2010 - 3:30pm","On November 2nd, the general election will decide whatever races are not already decided by the September 14th primary.  Then we turn our attention back to pushing a progressive agenda in the State Senate/House.  Communists view the elections analytically,  selecting key candidates to campaign for...and against.","","Public Forum:  The Communist Party and Elections/Our View. Also, a Look toward 2011 General Assembly Initiatives"
